game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,,0.0,9.0,1.0
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,,,0.0,3.0,1.0
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,0.0,0.0,0.0,1.0,80.0,5.0
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,,,0.0,20.0,3.0
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,,,0.0,35.0,3.0
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,,,1.0,97.0,7.0
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,,,,0.0,19.0,2.0
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,,,0.0,14.0,1.0
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,,,1.0,28.0,2.0
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,,,1.0,19.0,2.0
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,,13.0,1.0
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,,25.0,3.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,0.0,12.0,1.0
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,,0.0,20.0,2.0
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,0.0,15.0,1.0
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,0.0,17.0,1.0
