game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,,,2.0,,6.0,1.0,,6.0
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,1.0,4.0,1.0,4.0,1.0,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,1.0,26.0,2.0,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,,,1.0,64.0,1.0,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,,,13.0,2.0,,35.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,,,42.0,5.0,,5.0
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,2023-04-22,2023,10,XFL,BATTLEHAWKS,GUARDIANS,0.0,0.0,,,,,,,,
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,1.0,,,,0.0,0.0,0.0,,
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,,,,0.0,0.0,0.0,,
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,,,,0.0,0.0,0.0,,
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,,,0.0,20.0,2.0,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,,,,0.0,0.0,0.0,,
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,,,,0.0,59.0,2.0,,
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,,,,1.0,19.0,2.0,,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,,,0.0,58.0,1.0,0.0,13.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,,0.0,0.0,0.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,,,,,0.0,4.0,1.0,0.0,4.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,,,,,,0.0,3.0
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,,,0.0,61.0,3.0,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,1.0,,,0.0,0.0,0.0,,
72,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,,,,0.0,0.0,0.0,0.0,8.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,,,,,0.0,64.0,1.0,,
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,,,0.0,0.0,0.0,,
104,2026-04-25,2026,5,UFL,ST. LOUIS BATTLEHAWKS,ORLANDO STORM,,,,,,,,,0.0,15.0
107,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,,,,,,1.0,4.0,1.0,,
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,,,,,0.0,0.0,0.0,0.0,6.0
