game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,7.0,4.0,9.0,22.0,12.0,12.0,1.0,101.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,2.0,,,9.0,,79.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,12.0,,,6.0,1.0,46.0,1.0,5.0
