game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,32.0,,,18.0,15.0,,4.0,,47.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,9.0,,,17.0,10.0,,20.0,,19.0,1.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,36.0,,,18.0,23.0,,7.0,,59.0,7.0,6.0,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,4.0,4.0,4.0,,5.0,4.0,,4.0,,,,4.0,4.0
