game_id,date,season,week,league,away,home,extra_point,field_goal_yards
SYNTHETIC_CFL_2024_W21_EDM,,2024,21,CFL,,,1.0,19.0
SYNTHETIC_CFL_2025_W1_EDM,,2025,1,CFL,,,1.0,
SYNTHETIC_CFL_2025_W3_EDM,,2025,3,CFL,,,2.0,74.0
SYNTHETIC_CFL_2025_W4_EDM,,2025,4,CFL,,,2.0,108.0
SYNTHETIC_CFL_2025_W5_EDM,,2025,5,CFL,,,4.0,91.0
SYNTHETIC_CFL_2025_W6_EDM,,2025,6,CFL,,,2.0,
SYNTHETIC_CFL_2025_W8_EDM,,2025,8,CFL,,,2.0,15.0
SYNTHETIC_CFL_2025_W9_EDM,,2025,9,CFL,,,3.0,33.0
SYNTHETIC_CFL_2025_W10_EDM,,2025,10,CFL,,,1.0,12.0
SYNTHETIC_CFL_2025_W11_EDM,,2025,11,CFL,,,2.0,123.0
SYNTHETIC_CFL_2025_W12_EDM,,2025,12,CFL,,,3.0,99.0
SYNTHETIC_CFL_2025_W13_EDM,,2025,13,CFL,,,,83.0
SYNTHETIC_CFL_2025_W14_EDM,,2025,14,CFL,,,3.0,124.0
SYNTHETIC_CFL_2025_W15_EDM,,2025,15,CFL,,,3.0,77.0
SYNTHETIC_CFL_2025_W17_EDM,,2025,17,CFL,,,2.0,77.0
SYNTHETIC_CFL_2025_W19_EDM,,2025,19,CFL,,,3.0,35.0
SYNTHETIC_CFL_2025_W20_EDM,,2025,20,CFL,,,3.0,44.0
SYNTHETIC_CFL_2025_W21_EDM,,2025,21,CFL,,,1.0,51.0
