game_id,date,season,week,league,away,home,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
11824046,2025-06-06,2025,1,CFL,TOR,MTL,2.0,1.0,,,,,,,3.0
11824051,2025-06-14,2025,2,CFL,CGY,TOR,65.0,9.0,,,,,,,62.0
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,,,,,,,,37.0
11824060,2025-06-29,2025,4,CFL,TOR,OTT,3.0,2.0,,,,,,,
FOOTBALL_AF1_2026_6_12_T606163G1168394@T584635,2026-06-12,2026,10,AF1,Michigan Arsenal,Albany Firebirds,,,5.0,9.0,0.0,4.0,0.0,0.0,20.0
