game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,1.0,,2.0,3.0,1.0,,,,3.0,91.0,21.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,4.0,4.0,14.0,15.0,1.0,2.0,,,15.0,280.0,72.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,2.0,1.0,9.0,10.0,2.0,1.0,,,10.0,73.0,61.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,2.0,5.0,5.0,,,,,5.0,10.0,-16.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,1.0,2.0,9.0,9.0,1.0,1.0,,,9.0,164.0,39.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,1.0,4.0,8.0,10.0,1.0,,1.0,2.0,10.0,90.0,38.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,2.0,,10.0,8.0,2.0,,1.0,1.0,8.0,128.0,111.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,1.0,1.0,7.0,5.0,1.0,,,,6.0,121.0,-7.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,1.0,,7.0,4.0,2.0,,1.0,,4.0,42.0,73.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,,3.0,3.0,1.0,1.0,,1.0,3.0,59.0,19.0
