game_id,date,season,week,league,away,home,1pt_conversion,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,1.0,0.0,0.0,0.0,0.0,26.0
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,1.0,,,,0.0,12.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,1.0,,,,1.0,53.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,0.0,18.0,2.0,2.0,74.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,,,1.0,94.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,1.0,0.0,36.0,2.0,1.0,31.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,2.0,0.0,7.0,1.0,0.0,46.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,0.0,15.0,4.0,1.0,47.0
90,2026-03-29,2026,1,UFL,COLUMBUS AVIATORS,ORLANDO STORM,,0.0,12.0,2.0,0.0,30.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,0.0,5.0,1.0,0.0,44.0
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,0.0,8.0,2.0,0.0,13.0
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,0.0,8.0,1.0,1.0,37.0
105,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,,0.0,17.0,1.0,1.0,30.0
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,0.0,11.0,2.0,0.0,42.0
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,0.0,9.0,3.0,0.0,2.0
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,0.0,19.0,2.0,0.0,14.0
