game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,0.0,,,,,,,,,,,,11.8,22.0,1.0,47.0,4.0,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,,,,,,,,4.0,26.3,45.0,1.0,105.0,6.0,8.0,1.0,12.0,2.0,,,,,,,,,,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,,,,,,,,6.0,20.2,31.0,0.0,121.0,8.7,11.0,1.0,26.0,3.0,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,,,,,,,,3.0,12.0,16.0,0.0,36.0,21.0,40.0,0.0,84.0,4.0,6.5,9.0,2.0,1.0,13.0,,,,,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,,,,,,,,1.0,10.0,10.0,0.0,10.0,6.3,15.0,0.0,25.0,4.0,-1.0,0.0,1.0,0.0,-1.0,,,,,,
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,2.0,,,,,,,1.0,15.0,15.0,0.0,15.0,23.3,50.0,3.0,93.0,4.0,0.0,0.0,1.0,0.0,0.0,,,1.0,3.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,,,,,,,,2.0,15.5,16.0,0.0,31.0,15.0,18.0,1.0,30.0,2.0,1.0,4.0,2.0,0.0,2.0,,,,,,
FOOTBALL_IFL_2026_7_11_TORLANDOPIRATESG20260711VSBZ@TSANANTONIOGUNSLINGERS,2026-07-11,2026,18,IFL,Orlando Pirates,San Antonio Gunslingers,,,,,,,,1.0,4.0,4.0,0.0,4.0,10.1,28.0,3.0,81.0,8.0,1.0,1.0,1.0,0.0,1.0,,,,,,
FOOTBALL_IFL_2026_7_24_TSANANTONIOGUNSLINGERSG20260724MW4T@TIOWABARNSTORMERS,2026-07-24,2026,20,IFL,San Antonio Gunslingers,Iowa Barnstormers,0.0,,,,,,,,,,,,4.8,6.0,1.0,24.0,5.0,,,,,,,,1.0,1.0,1.0,0.0
