game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_OTT,,,1,CFL,,,1.0,1.0,380.0,0.0,10.0
SYNTHETIC_CFL_W4_OTT,,,4,CFL,,,0.0,0.0,162.0,1.0,18.0
SYNTHETIC_CFL_W5_OTT,,,5,CFL,,,1.0,1.0,210.0,0.0,8.0
SYNTHETIC_CFL_2023_W5_OTT,,2023,5,CFL,,,1.0,0.0,37.0,,
SYNTHETIC_CFL_2024_W11_OTT,,2024,11,CFL,,,0.0,1.0,254.0,0.0,17.0
SYNTHETIC_CFL_2024_W15_OTT,,2024,15,CFL,,,2.0,2.0,183.0,0.0,1.0
SYNTHETIC_CFL_2024_W16_OTT,,2024,16,CFL,,,0.0,1.0,218.0,0.0,7.0
SYNTHETIC_CFL_2024_W17_OTT,,2024,17,CFL,,,3.0,1.0,278.0,0.0,8.0
SYNTHETIC_CFL_2024_W19_OTT,,2024,19,CFL,,,1.0,0.0,216.0,0.0,9.0
SYNTHETIC_CFL_2025_W2_BC,,2025,2,CFL,,,1.0,0.0,84.0,,
SYNTHETIC_CFL_2025_W3_BC,,2025,3,CFL,,,2.0,1.0,281.0,0.0,3.0
SYNTHETIC_CFL_2025_W4_BC,,2025,4,CFL,,,3.0,1.0,173.0,0.0,7.0
SYNTHETIC_CFL_2025_W6_BC,,2025,6,CFL,,,,,,0.0,3.0
SYNTHETIC_CFL_2025_W8_BC,,2025,8,CFL,,,,,,1.0,2.0
SYNTHETIC_CFL_2025_W10_BC,,2025,10,CFL,,,,,,1.0,3.0
SYNTHETIC_CFL_2025_W11_BC,,2025,11,CFL,,,,,,0.0,2.0
SYNTHETIC_CFL_2025_W12_BC,,2025,12,CFL,,,,,,0.0,0.0
SYNTHETIC_CFL_2025_W14_BC,,2025,14,CFL,,,,,,0.0,2.0
SYNTHETIC_CFL_2025_W16_BC,,2025,16,CFL,,,,,,1.0,1.0
SYNTHETIC_CFL_2025_W20_BC,,2025,20,CFL,,,,,,0.0,2.0
