game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,def_solo,def_tot,fielding_catches,fielding_runouts,match_played,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
cricket-ipl-2009-05-04-392209,2009-05-04,2009,1,IPL,Chennai Super Kings,Deccan Chargers,4.0,0.0,0.0,8.0,1.0,0.0,24.0,0.0,0.0,39.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-06-392212,2009-05-06,2009,1,IPL,Deccan Chargers,Mumbai Indians,4.0,0.0,1.0,8.0,5.0,0.0,24.0,0.0,0.0,25.0,0.0,0.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-09-392216,2009-05-09,2009,1,IPL,Deccan Chargers,Kings XI Punjab,,,,,,,18.0,0.0,0.0,29.0,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-16-392228,2009-05-16,2009,1,IPL,Deccan Chargers,Kolkata Knight Riders,,,,,,,24.0,0.0,0.0,20.0,2.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-17-392229,2009-05-17,2009,1,IPL,Deccan Chargers,Kings XI Punjab,2.0,0.0,1.0,8.0,2.0,0.0,24.0,0.0,0.0,31.0,0.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-21-392236,2009-05-21,2009,1,IPL,Royal Challengers Bangalore,Deccan Chargers,3.0,0.0,1.0,8.0,4.0,0.0,24.0,0.0,0.0,25.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-22-392237,2009-05-22,2009,1,IPL,Delhi Daredevils,Deccan Chargers,,,,,,,24.0,1.0,1.0,27.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2009-05-24-392239,2009-05-24,2009,1,IPL,Royal Challengers Bangalore,Deccan Chargers,5.0,0.0,1.0,8.0,9.0,0.0,24.0,1.0,0.0,34.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2009-01-18-351685,2009-01-18,2009,1,ODI,Australia,South Africa,10.0,0.0,0.0,9.0,7.0,0.0,60.0,0.0,0.0,54.0,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-03-419138,2010-04-03,2010,1,IPL,Mumbai Indians,Deccan Chargers,10.0,1.0,0.0,8.0,13.0,0.0,24.0,0.0,0.0,40.0,1.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-05-419141,2010-04-05,2010,1,IPL,Deccan Chargers,Rajasthan Royals,2.0,0.0,0.0,8.0,1.0,0.0,24.0,0.0,0.0,34.0,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-08-419145,2010-04-08,2010,1,IPL,Royal Challengers Bangalore,Deccan Chargers,,,,,,,24.0,0.0,0.0,37.0,2.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-10-419147,2010-04-10,2010,1,IPL,Deccan Chargers,Chennai Super Kings,,,,,,,24.0,0.0,0.0,18.0,3.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-12-419151,2010-04-12,2010,1,IPL,Deccan Chargers,Royal Challengers Bangalore,9.0,0.0,1.0,7.0,13.0,1.0,22.0,0.0,0.0,34.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-16-419156,2010-04-16,2010,1,IPL,Kings XI Punjab,Deccan Chargers,,,,,,,24.0,0.0,0.0,27.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-22-419163,2010-04-22,2010,1,IPL,Chennai Super Kings,Deccan Chargers,8.0,1.0,0.0,8.0,15.0,1.0,24.0,0.0,0.0,29.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2010-04-24-419164,2010-04-24,2010,1,IPL,Royal Challengers Bangalore,Deccan Chargers,10.0,0.0,0.0,8.0,3.0,0.0,18.0,0.0,0.0,14.0,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-01-26-406204,2010-01-26,2010,1,ODI,Australia,Pakistan,,,,,,,60.0,0.0,0.0,43.0,5.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-01-29-406205,2010-01-29,2010,1,ODI,Australia,Pakistan,3.0,0.0,0.0,9.0,4.0,0.0,59.0,4.0,0.0,19.0,5.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-01-31-406206,2010-01-31,2010,1,ODI,Australia,Pakistan,2.0,0.0,1.0,10.0,2.0,0.0,60.0,1.0,0.0,44.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-02-07-406192,2010-02-07,2010,1,ODI,Australia,West Indies,1.0,0.0,1.0,10.0,2.0,0.0,54.0,1.0,0.0,24.0,3.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-02-12-406194,2010-02-12,2010,1,ODI,Australia,West Indies,9.0,3.0,0.0,10.0,21.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-02-14-406195,2010-02-14,2010,1,ODI,Australia,West Indies,,,,,,,60.0,0.0,0.0,64.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-02-19-406196,2010-02-19,2010,1,ODI,Australia,West Indies,,,,,,,42.0,2.0,0.0,26.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-03-03-423791,2010-03-03,2010,1,ODI,New Zealand,Australia,,,,,,,60.0,1.0,0.0,57.0,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-03-06-423792,2010-03-06,2010,1,ODI,New Zealand,Australia,,,,,,,50.0,0.0,1.0,34.0,3.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-03-09-423793,2010-03-09,2010,1,ODI,New Zealand,Australia,,,,,,,42.0,0.0,2.0,48.0,3.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-03-11-423794,2010-03-11,2010,1,ODI,New Zealand,Australia,,,,,,,42.0,1.0,0.0,37.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-06-17-426384,2010-06-17,2010,1,ODI,Ireland,Australia,8.0,0.0,0.0,9.0,6.0,0.0,42.0,0.0,0.0,40.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-06-22-426387,2010-06-22,2010,1,ODI,England,Australia,,,,,,,54.0,2.0,0.0,42.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-06-27-426389,2010-06-27,2010,1,ODI,England,Australia,2.0,0.0,0.0,9.0,1.0,0.0,60.0,0.0,0.0,59.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-06-30-426390,2010-06-30,2010,1,ODI,England,Australia,,,,,,,52.0,1.0,0.0,32.0,5.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2010-07-03-426391,2010-07-03,2010,1,ODI,England,Australia,,,,,,,48.0,1.0,0.0,38.0,1.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-t20i-2010-02-23-406198,2010-02-23,2010,1,T20I,Australia,West Indies,,,,,,,24.0,0.0,0.0,27.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-t20i-2010-02-28-423788,2010-02-28,2010,1,T20I,New Zealand,Australia,,,,,,,24.0,1.0,0.0,40.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-t20i-2010-05-05-412688,2010-05-05,2010,1,T20I,Australia,Bangladesh,1.0,0.0,1.0,9.0,2.0,0.0,22.0,0.0,0.0,28.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2010-03-19-423789,2010-03-19,2010,1,TESTS,New Zealand,Australia,,,,,,,246.0,7.0,2.0,119.0,6.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2010-03-27-423790,2010-03-27,2010,1,TESTS,New Zealand,Australia,43.0,5.0,0.0,9.0,28.0,0.0,177.0,6.0,1.0,88.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2010-12-03-428750,2010-12-03,2010,1,TESTS,Australia,England,2.0,0.0,0.0,7.0,0.0,0.0,174.0,5.0,0.0,84.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2010-12-16-428751,2010-12-16,2010,1,TESTS,Australia,England,12.0,0.0,0.0,9.0,4.0,0.0,156.0,5.0,0.0,106.0,9.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2010-12-26-428752,2010-12-26,2010,1,TESTS,Australia,England,23.0,2.0,1.0,9.0,10.0,0.0,172.0,9.0,0.0,91.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-bbl-2011-12-20-524919,2011-12-20,2011,1,BBL,Brisbane Heat,Melbourne Stars,20.0,2.0,1.0,9.0,25.0,0.0,24.0,0.0,0.0,31.0,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
cricket-bbl-2011-12-29-524925,2011-12-29,2011,1,BBL,Perth Scorchers,Brisbane Heat,,,,,,,24.0,0.0,0.0,35.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-04-13-501206,2011-04-13,2011,1,IPL,Kings XI Punjab,Chennai Super Kings,,,,,,,24.0,0.0,0.0,25.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-04-16-501212,2011-04-16,2011,1,IPL,Deccan Chargers,Kings XI Punjab,,,,,,,24.0,0.0,0.0,31.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-04-21-501220,2011-04-21,2011,1,IPL,Kings XI Punjab,Rajasthan Royals,,,,,,,24.0,0.0,0.0,34.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-04-23-501223,2011-04-23,2011,1,IPL,Delhi Daredevils,Kings XI Punjab,1.0,0.0,1.0,8.0,1.0,0.0,24.0,0.0,0.0,48.0,0.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-04-30-501234,2011-04-30,2011,1,IPL,Kolkata Knight Riders,Kings XI Punjab,,,,,,,12.0,0.0,0.0,13.0,0.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-02-501237,2011-05-02,2011,1,IPL,Mumbai Indians,Kings XI Punjab,2.0,0.0,0.0,9.0,1.0,0.0,24.0,0.0,0.0,33.0,2.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-06-501244,2011-05-06,2011,1,IPL,Royal Challengers Bangalore,Kings XI Punjab,25.0,1.0,0.0,9.0,17.0,0.0,24.0,1.0,0.0,38.0,3.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-08-501248,2011-05-08,2011,1,IPL,Kings XI Punjab,Pune Warriors,4.0,1.0,0.0,8.0,4.0,0.0,24.0,0.0,0.0,26.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-10-501251,2011-05-10,2011,1,IPL,Kings XI Punjab,Mumbai Indians,4.0,1.0,0.0,8.0,6.0,0.0,12.0,0.0,0.0,13.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-13-501254,2011-05-13,2011,1,IPL,Kochi Tuskers Kerala,Kings XI Punjab,,,,,,,24.0,0.0,0.0,42.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-15-501257,2011-05-15,2011,1,IPL,Kings XI Punjab,Delhi Daredevils,2.0,0.0,1.0,7.0,2.0,0.0,24.0,0.0,0.0,16.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-17-501260,2011-05-17,2011,1,IPL,Kings XI Punjab,Royal Challengers Bangalore,,,,,,,18.0,0.0,0.0,28.0,3.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2011-05-21-501264,2011-05-21,2011,1,IPL,Kings XI Punjab,Deccan Chargers,1.0,0.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,35.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2011-08-31-516212,2011-08-31,2011,1,TESTS,Sri Lanka,Australia,50.0,3.0,0.0,9.0,24.0,0.0,168.0,10.0,0.0,68.0,5.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2011-09-08-516213,2011-09-08,2011,1,TESTS,Sri Lanka,Australia,12.0,2.0,1.0,9.0,9.0,0.0,228.0,15.0,0.0,92.0,6.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-tests-2011-11-09-514029,2011-11-09,2011,1,TESTS,South Africa,Australia,17.0,0.0,0.0,9.0,8.0,0.0,147.0,5.0,1.0,100.0,4.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2012-05-02-548350,2012-05-02,2012,1,IPL,Royal Challengers Bangalore,Kings XI Punjab,,,,,,,12.0,0.0,0.0,21.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2012-05-05-548354,2012-05-05,2012,1,IPL,Kings XI Punjab,Rajasthan Royals,5.0,0.0,0.0,9.0,3.0,0.0,24.0,0.0,0.0,34.0,4.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2012-05-13-548366,2012-05-13,2012,1,IPL,Kings XI Punjab,Deccan Chargers,,,,,,,24.0,0.0,0.0,32.0,0.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2012-05-17-548371,2012-05-17,2012,1,IPL,Kings XI Punjab,Chennai Super Kings,,,,,,,24.0,0.0,0.0,24.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-ipl-2012-05-19-548374,2012-05-19,2012,1,IPL,Kings XI Punjab,Delhi Daredevils,6.0,1.0,1.0,9.0,15.0,1.0,24.0,0.0,0.0,19.0,2.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2012-02-05-518956,2012-02-05,2012,1,ODI,Australia,India,,,,,,,30.0,0.0,0.0,28.0,0.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
cricket-odi-2012-02-10-518958,2012-02-10,2012,1,ODI,Australia,Sri Lanka,9.0,0.0,0.0,8.0,3.0,0.0,60.0,0.0,0.0,43.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
