game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202505170NYL,2025-05-17,2025,1,WNBA,LVA,NYL,,,,,1.0,1.0,1.0,,,,,1.2333333333333334,,-2.0,2.0,,,
WNBA_202505200CON,2025-05-20,2025,1,WNBA,LVA,CON,,1.0,3.0,,,3.0,,2.0,,,,10.683333333333334,,-4.0,,3.0,1.0,
WNBA_202505250SEA,2025-05-25,2025,1,WNBA,LVA,SEA,,2.0,2.0,1.0,0.625,8.0,5.0,3.0,0.5,2.0,1.0,16.283333333333335,3.0,7.0,11.0,5.0,2.0,
WNBA_202505300LVA,2025-05-30,2025,1,WNBA,LAS,LVA,,1.0,1.0,,,2.0,,3.0,,,,10.616666666666667,,-14.0,,1.0,,1.0
WNBA_202506010SEA,2025-06-01,2025,1,WNBA,LVA,SEA,,,,,,,,4.0,,,,5.616666666666667,,1.0,,,,2.0
WNBA_202506070GSV,2025-06-07,2025,1,WNBA,LVA,GSV,,,1.0,,,,,,,,,8.05,,-6.0,,1.0,,
WNBA_202506110LVA,2025-06-11,2025,1,WNBA,LAS,LVA,,,,,,1.0,,,,,,2.0,,-3.0,,,,1.0
WNBA_202506130LVA,2025-06-13,2025,1,WNBA,DAL,LVA,1.0,,3.0,,0.25,4.0,1.0,1.0,,,,17.8,1.0,-13.0,2.0,4.0,,
WNBA_202506150LVA,2025-06-15,2025,1,WNBA,PHO,LVA,,1.0,2.0,,,2.0,,1.0,,,,11.183333333333334,,-4.0,,2.0,,2.0
WNBA_202506170MIN,2025-06-17,2025,1,WNBA,LVA,MIN,,,,,,,,2.0,,,,2.9,,-7.0,,,,1.0
WNBA_202506250LVA,2025-06-25,2025,1,WNBA,CON,LVA,,,1.0,,,2.0,,1.0,,,,6.283333333333333,,-5.0,,1.0,1.0,
WNBA_202506260LVA,2025-06-26,2025,1,WNBA,WAS,LVA,,1.0,,,,,,1.0,,,,5.516666666666667,,-2.0,,,,
