game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,def_tackles_solo,gp,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,2.0,1.0,41.0,,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,,2.0,52.0,,12.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,1.0,0.5,34.0,,12.0,1.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,1.0,41.0,,12.0,,
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,,,,6.0,6.0,1.0,,
