game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_RADICALS,,,2,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_RADICALS,,,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,,,,0.0,1.0,,,,0.0,0.0,17.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,,MIN,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-15-IND-MAD,2022-07-15,2022,8,,IND,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,,CHI,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,,1.0,1.0,2.0,2.0,,1.0,1.0,,2.0,,-7.0,39.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,,1.0,,2.0,4.0,,,,,4.0,,-9.0,31.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,1.0,2.0,,6.0,7.0,,1.0,,,7.0,,67.0,73.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,1.0,,,,1.0,,,,,1.0,,,15.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,1.0,1.0,,6.0,3.0,,1.0,,,5.0,2.0,91.0,3.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,2.0,1.0,,11.0,12.0,,,,,12.0,,29.0,80.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,,,,,,1.0,2.0,,,,,
