game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,pr_no,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,,,,,,1.0,,8.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,12.0,,,,,,12.0,2.0,173.0,1.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,1.0,20.0,1.0,35.0,1195.0,4.0,,50.0,4.0,6.0
