game_id,date,season,week,league,away,home,completions,pass_attempts,passing_yards,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_attempts,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot,targets
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,1.0,1.0,10.0,13.0,4.0,,,,,,,,,,2.0,,,,,6.0,,,,
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,,,,32.0,5.0,,,,,,,,,,14.0,,,,2.0,99.0,,,,2.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,,,30.0,6.0,,,,,,,,,,13.0,,,,,80.0,,,,2.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,,,,23.0,5.0,,,,,,,,,,12.0,,,,,31.0,,,,1.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,,,3.0,3.0,,,,,,,,,,6.0,,,,,25.0,,,,
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,,,,16.0,4.0,4.0,25.0,27.0,,,,21.0,,24.0,1.0,122.0,,,6.0,1.0,1.0,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,,,-8.0,1.0,1.0,-8.0,-8.0,,,,19.0,,12.0,,83.0,,,,,,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,,,,,,,,,23.0,1.0,23.0,2.0,,5.0,,6.0,,,,,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,,18.0,3.0,3.0,31.0,33.0,17.0,2.0,33.0,1.0,,2.0,,2.0,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,2.0,1.0,1.0,2.0,2.0,,,,2.0,,9.0,,12.0,,,,,,
