game_id,date,season,week,league,away,home,fielding_catches,fielding_runouts,match_played
cricket-odi-2022-12-11-1322341,2022-12-11,2022,1,ODI,Bangladesh,New Zealand,1.0,1.0,1.0
cricket-odi-2022-12-14-1322342,2022-12-14,2022,1,ODI,Bangladesh,New Zealand,,2.0,1.0
