game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-odi-2005-08-29-217481,2005-08-29,2005,1,ODI,India,Zimbabwe,,,,,,,60.0,0.0,0.0,54.0,3.0,6.0,1.0
cricket-odi-2005-08-31-217648,2005-08-31,2005,1,ODI,New Zealand,Zimbabwe,,,,,,,60.0,0.0,0.0,61.0,2.0,5.0,1.0
cricket-odi-2005-09-04-217979,2005-09-04,2005,1,ODI,Zimbabwe,India,1.0,0.0,1.0,11.0,1.0,0.0,60.0,0.0,0.0,59.0,1.0,5.0,1.0
cricket-odi-2006-05-10-239911,2006-05-10,2006,1,ODI,West Indies,Zimbabwe,1.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,0.0,25.0,0.0,0.0,1.0
cricket-odi-2006-05-13-239912,2006-05-13,2006,1,ODI,West Indies,Zimbabwe,,,,,,,42.0,0.0,2.0,57.0,1.0,4.0,1.0
cricket-odi-2006-08-06-249207,2006-08-06,2006,1,ODI,Zimbabwe,Bangladesh,8.0,0.0,0.0,10.0,3.0,0.0,48.0,1.0,0.0,42.0,0.0,1.0,1.0
cricket-odi-2006-09-15-255961,2006-09-15,2006,1,ODI,South Africa,Zimbabwe,,,,,,,59.0,0.0,2.0,52.0,1.0,4.0,1.0
cricket-odi-2006-09-18-259793,2006-09-18,2006,1,ODI,South Africa,Zimbabwe,14.0,0.0,0.0,10.0,1.0,0.0,42.0,0.0,0.0,40.0,2.0,1.0,1.0
cricket-odi-2006-10-08-249740,2006-10-08,2006,1,ODI,West Indies,Zimbabwe,21.0,1.0,0.0,9.0,6.0,0.0,24.0,1.0,1.0,27.0,0.0,0.0,1.0
cricket-odi-2006-10-10-249741,2006-10-10,2006,1,ODI,Sri Lanka,Zimbabwe,8.0,0.0,0.0,10.0,0.0,0.0,60.0,0.0,1.0,53.0,1.0,1.0,1.0
cricket-odi-2006-10-13-249743,2006-10-13,2006,1,ODI,Bangladesh,Zimbabwe,11.0,0.0,0.0,9.0,1.0,0.0,54.0,1.0,1.0,45.0,2.0,3.0,1.0
cricket-odi-2006-12-09-264071,2006-12-09,2006,1,ODI,Bangladesh,Zimbabwe,,,,,,,60.0,1.0,0.0,38.0,1.0,2.0,1.0
cricket-odi-2007-03-19-247469,2007-03-19,2007,1,ODI,West Indies,Zimbabwe,,,,,,,42.0,0.0,0.0,38.0,1.0,0.0,1.0
