game_id,date,season,week,league,away,home,fumbles,fumbles_lost,games_played,kick_returns,match_loss,match_played,match_win,punt_returns,receiving_yards,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,team_points_against,team_points_for,total_yards,yards_per_game
FOOTBALL_NAL_2021_albany-empire_SEASON_TOTAL,2021-12-31,,0,,,ALBANY EMPIRE,0.0,0.0,5.0,2.6,,,,13.0,8.0,1.0,1.0,1.0,0.0,5.0,0.2,,,2.0,15.0
curling-curling-events-2026-9478-389169,2026-01-01,2026,1,CURLING-EVENTS,Denmark,Scotland,,,,,0.0,1.0,1.0,,,,,,,,,7.0,10.0,,
