game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,18.0,37.0,2.0,296.0,215.0,18.0,12.0,1093.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,38.0,,299.0,168.0,13.0,3.0,733.0
