game_id,date,season,week,league,away,home,interceptions,lost_fumbles
FOOTBALL_FCF_2021_SEASON_TOTAL,,2021,1,FCF,,,2.0,
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,0.0
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,0.0
