game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202207040LAS,2022-07-04,2022,1,WNBA,PHO,LAS,2.0,,,1.0,,,1.0,,1.0,,,,8.466666666666667,3.0,-2.0,,3.0,1.0,
WNBA_202207070LAS,2022-07-07,2022,1,WNBA,SEA,LAS,,1.0,,5.0,,0.167,6.0,1.0,1.0,,,,18.183333333333334,,-19.0,2.0,1.0,,
WNBA_202207280PHO,2022-07-28,2022,1,WNBA,LAS,PHO,1.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,,,,5.45,,12.0,3.0,1.0,1.0,
WNBA_202207310LAS,2022-07-31,2022,1,WNBA,MIN,LAS,,,,,,,,,,,,,2.4166666666666665,,-3.0,,,,
WNBA_202208020NYL,2022-08-02,2022,1,WNBA,LAS,NYL,,,,1.0,,,4.0,,1.0,,,,11.316666666666666,,-13.0,,,1.0,
WNBA_202208030NYL,2022-08-03,2022,1,WNBA,LAS,NYL,1.0,,,2.0,,0.2,5.0,1.0,2.0,,,,16.05,,-1.0,2.0,,,1.0
WNBA_202208050ATL,2022-08-05,2022,1,WNBA,LAS,ATL,1.0,,,,,0.333,3.0,1.0,1.0,1.0,2.0,2.0,5.483333333333333,,-1.0,4.0,,1.0,1.0
WNBA_202208070WAS,2022-08-07,2022,1,WNBA,LAS,WAS,,,,,,,,,2.0,,,,4.133333333333334,2.0,-6.0,,2.0,,
WNBA_202208090LAS,2022-08-09,2022,1,WNBA,CON,LAS,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,11.183333333333334,,-11.0,5.0,2.0,,1.0
WNBA_202208110LAS,2022-08-11,2022,1,WNBA,CON,LAS,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,7.783333333333333,,-4.0,3.0,,,1.0
WNBA_202208140LAS,2022-08-14,2022,1,WNBA,DAL,LAS,,,0.4,5.0,2.0,0.364,11.0,4.0,,,,,22.183333333333334,,-13.0,10.0,,,
