game_id,date,season,week,league,away,home,def_ast,def_sack,def_solo,def_tot,def_ydsl
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,1.0,1.0,
FOOTBALL_CFL_2016_8_12_MIA@NYG,2016-08-12,2016,1,CFL,MIA,NYG,1.0,1.0,3.0,4.0,3.0
FOOTBALL_CFL_2016_8_20_NYG@BUF,2016-08-20,2016,1,CFL,NYG,BUF,1.0,,1.0,2.0,
