game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles,tackles
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,7.0,
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,9.0,
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,7.0,
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,,,,,,,,,,5.0,5.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,6.0,,,,,,,,,,,5.0,11.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,2.0,,,,,,,,,,,5.0,7.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,3.0,,,,,,,,,,,7.0,10.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,2.0,,,,,,,,,,,5.0,7.0
