game_id,date,season,week,league,away,home,assists,blk,completions,cto,goals,interceptions_lost,lb,pass_attempts,passing_tds,passing_yards,pim,rush_attempts,rushing_tds,rushing_yards,sog,to
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,,,,,,,,,,,,1.0,0.0,-1.0,,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,,,,,,,,,,,1.0,0.0,4.0,,
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,,,0.0,,,0.0,,1.0,0.0,0.0,,1.0,0.0,16.0,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,,,,,,5.0,,,,,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0
