game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2025_3_29_SA@ARL,2025-03-29,2025,1,UFL,SA,ARL,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_4_6_HOU@ARL,2025-04-06,2025,2,UFL,HOU,ARL,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_4_12_ARL@BHM,2025-04-12,2025,3,UFL,ARL,BHM,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_4_27_DC@ARL,2025-04-27,2025,5,UFL,DC,ARL,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_3_ARL@STL,2025-05-03,2025,6,UFL,ARL,STL,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_10_MICH@ARL,2025-05-10,2025,7,UFL,MICH,ARL,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_18_ARL@DC,2025-05-18,2025,8,UFL,ARL,DC,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_24_ARL@MEM,2025-05-24,2025,9,UFL,ARL,MEM,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_6_1_ARL@SA,2025-06-01,2025,10,UFL,ARL,SA,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_7_T566773G1127137@T573852,2026-03-08,2026,1,NAL,Amarillo Warbirds,Louisiana Rouxgaroux,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_NAL_2026_3_13_T570666G1127140@T566773,2026-03-13,2026,2,NAL,Sioux City Bandits,Amarillo Warbirds,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5,0.0,,0.0
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,1.0,0.0,16.0,,,,
FOOTBALL_NAL_2026_3_28_T573852G1127146@T566773,2026-03-28,2026,4,NAL,Louisiana Rouxgaroux,Amarillo Warbirds,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,0.0,,,,,,,,,,0.0,4.0,2.0,28.0,0.0,27.0,9.0,9.0,0.0,9.0,1.0,1.7,9.0,12.0,0.0,20.0,,,1.0,1.0
FOOTBALL_NAL_2026_4_4_T566773G1127151@T581933,2026-04-05,2026,5,NAL,Amarillo Warbirds,Dallas Bulls,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,,,,,,,,,1.0,1.0,0.0,17.0,9.0,21.0,2.0,92.0,,,,,,4.2,19.0,13.0,1.0,54.0,,,,
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,0.0,23.0,9.0,20.0,0.0,62.0,,,,,,5.6,32.0,17.0,5.0,95.0,,,,
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,3.0
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0
