game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp,punt_no,punt_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,0.5,13.0,7.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,1.0,15.0,10.0,1.0,14.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,10.0,4.0,,
