game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,16.0,5.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,8.0,1.0,10.0,2.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,5.0,9.0,,,2.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,25.0,9.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,16.0,9.0,,,
