game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp,pr_no,pr_yds,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,8.0,29.0,9.0,1.0,1.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,1.0,,,1.0,1.0
