game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds
SYNTHETIC_USFL_W4_BHAM,,,4,USFL,,,,0.0,12.0,1.0,
SYNTHETIC_USFL_W6_BHAM,,,6,USFL,,,,0.0,0.0,0.0,
SYNTHETIC_USFL_W7_BHAM,,,7,USFL,,,,0.0,46.0,2.0,0.0
SYNTHETIC_USFL_W8_BHAM,,,8,USFL,,,,0.0,-1.0,1.0,
SYNTHETIC_USFL_W9_BHAM,,,9,USFL,,,,0.0,31.0,4.0,
SYNTHETIC_USFL_W10_BHAM,,,10,USFL,,,,0.0,60.0,3.0,
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,0.0,85.0,5.0,
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,1.0,121.0,11.0,
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,0.0,51.0,4.0,
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,0.0,94.0,6.0,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,0.0,36.0,6.0,
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,,0.0,24.0,4.0,
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,1.0,0.0,64.0,5.0,
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,0.0,34.0,3.0,
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,0.0,5.0,1.0,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,0.0,38.0,5.0,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,1.0,50.0,7.0,
SYNTHETIC_UFL_2024_W1_SHOWBOATS,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,0.0,38.0,2.0,
SYNTHETIC_UFL_2024_W2_SHOWBOATS,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,0.0,32.0,4.0,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,0.0,40.0,4.0,
SYNTHETIC_UFL_2024_W4_SHOWBOATS,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,1.0,0.0,24.0,4.0,
SYNTHETIC_UFL_2024_W5_SHOWBOATS,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,1.0,31.0,2.0,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,1.0,10.0,1.0,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,0.0,5.0,1.0,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,0.0,55.0,5.0,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,0.0,4.0,1.0,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,0.0,30.0,3.0,
