game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
cricket-t20i-2025-02-01-1468725,2025-02-01,2025,1,T20I,Nepal,Thailand,1.0,0.0,1.0,11.0,1.0,0.0,24.0,0.0,0.0,13.0,2.0,2.0,,1.0
cricket-t20i-2025-02-02-1468727,2025-02-02,2025,1,T20I,Netherlands,Nepal,,,,,,,24.0,0.0,0.0,31.0,2.0,0.0,,1.0
cricket-t20i-2025-02-04-1468728,2025-02-04,2025,1,T20I,Thailand,Nepal,,,,,,,24.0,1.0,0.0,18.0,3.0,0.0,1.0,1.0
cricket-t20i-2025-02-05-1468730,2025-02-05,2025,1,T20I,Nepal,Netherlands,,,,,,,18.0,0.0,0.0,20.0,0.0,0.0,,1.0
cricket-t20i-2025-02-07-1468731,2025-02-07,2025,1,T20I,Nepal,Thailand,,,,,,,12.0,0.0,0.0,15.0,0.0,1.0,,1.0
cricket-t20i-2025-05-19-1483779,2025-05-19,2025,1,T20I,United Arab Emirates,Nepal,,,,,,,24.0,0.0,0.0,20.0,4.0,0.0,,1.0
cricket-t20i-2025-05-20-1485778,2025-05-20,2025,1,T20I,Thailand,Nepal,3.0,0.0,1.0,11.0,0.0,0.0,18.0,0.0,0.0,24.0,1.0,0.0,,1.0
cricket-t20i-2026-01-26-1515224,2026-01-26,2026,1,T20I,Scotland,Nepal,5.0,0.0,0.0,11.0,2.0,0.0,24.0,0.0,0.0,17.0,4.0,3.0,,1.0
cricket-t20i-2026-04-18-1531151,2026-04-18,2026,1,T20I,United States of America,Nepal,1.0,0.0,1.0,11.0,0.0,0.0,24.0,0.0,0.0,18.0,2.0,0.0,,1.0
cricket-t20i-2026-04-19-1531153,2026-04-19,2026,1,T20I,Nepal,Italy,,,,,,,24.0,1.0,0.0,6.0,1.0,2.0,,1.0
cricket-t20i-2026-04-22-1531156,2026-04-22,2026,1,T20I,Rwanda,Nepal,,,,,,,24.0,0.0,0.0,11.0,1.0,1.0,,1.0
cricket-t20i-2026-04-24-1531158,2026-04-24,2026,1,T20I,Vanuatu,Nepal,5.0,0.0,0.0,11.0,1.0,0.0,24.0,0.0,0.0,14.0,1.0,1.0,,1.0
cricket-t20i-2026-04-26-1531161,2026-04-26,2026,1,T20I,Nepal,United States of America,5.0,0.0,1.0,8.0,3.0,0.0,18.0,1.0,0.0,13.0,1.0,0.0,,1.0
cricket-t20i-2026-04-28-1531164,2026-04-28,2026,1,T20I,Nepal,Rwanda,,,,,,,24.0,1.0,0.0,10.0,3.0,1.0,1.0,1.0
cricket-t20i-2026-04-30-1531167,2026-04-30,2026,1,T20I,Nepal,Vanuatu,,,,,,,18.0,0.0,0.0,16.0,0.0,0.0,,1.0
cricket-t20i-2026-05-01-1531169,2026-05-01,2026,1,T20I,Italy,Nepal,,,,,,,12.0,0.0,0.0,10.0,3.0,2.0,,1.0
