game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,21.0,2.0,,,1.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,,5.0,1.0,1.0,1.0,1.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,24.0,2.0,,,2.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,5.0,1.0,,,
SYNTHETIC_USFL_2022_W1_NO,,2022,1,USFL,,,0.0,2.0,1.0,,,
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,0.0,0.0,0.0,,,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,0.0,9.0,1.0,,,
