game_id,date,season,week,league,away,home,def_rebounds,fg3a,fga,fouls,minutes,plus_minus,rebounds,turnovers
WNBA_202508270DAL,2025-08-27,2025,1,WNBA,CON,DAL,,,,2.0,2.15,-3.0,,1.0
WNBA_202508290ATL,2025-08-29,2025,1,WNBA,DAL,ATL,1.0,,,2.0,12.283333333333333,-9.0,1.0,
WNBA_202509010MIN,2025-09-01,2025,1,WNBA,DAL,MIN,,1.0,1.0,,7.233333333333333,-7.0,,1.0
