game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-nwsl-2017-4JMAk47qKg,,2017,1,NWSL,,,1.0,-1.6709,16.8826,-0.2124,3.0,-0.2104,4.0,25.0,1634.0,0.7028,397.0,-2.6226,-0.6606,0.7276,32.0,16.0,2.6709,3.2104,1.1778,5.8814,0.7094,1.7692
soccer-nwsl-2018-4JMAk47qKg,,2018,1,NWSL,,,2.0,0.0787,16.4223,3.9152,1.0,-2.1533,3.0,14.0,1100.0,0.5584,274.0,-9.8872,-3.6085,0.4804,21.0,7.0,1.9213,3.1533,-1.075,5.0746,0.5945,1.5805
soccer-nwsl-2019-4JMAk47qKg,,2019,1,NWSL,,,0.0,-0.2725,15.536,5.7921,1.0,-0.6313,1.0,2.0,366.0,0.5667,90.0,-0.0761,-0.0845,0.5983,13.0,9.0,0.2725,1.6313,1.4206,1.9038,0.5675,0.7845
soccer-nwsl-2020-4JMAk47qKg,,2020,1,NWSL,,,0.0,-1.4159,17.8895,3.476,1.0,-0.2725,1.0,11.0,747.0,0.5912,181.0,-0.3114,-0.172,0.4778,11.0,4.0,1.4159,1.2725,-0.5858,2.6884,0.5929,0.308
soccer-nwsl-2021-4JMAk47qKg,,2021,1,NWSL,,,4.0,0.7129,16.4151,0.7695,2.0,-0.8837,6.0,23.0,1713.0,0.5702,449.0,-16.8229,-3.7468,0.7072,33.0,16.0,3.2871,2.8837,-0.2302,6.1708,0.6076,1.8543
soccer-nwsl-2022-4JMAk47qKg,,2022,1,NWSL,,,3.0,0.2183,14.8164,1.9569,6.0,0.8388,9.0,21.0,2146.0,0.6039,510.0,-19.2765,-3.7797,1.3026,50.0,17.0,2.7817,5.1612,-1.1634,7.943,0.6417,3.6848
soccer-nwsl-2023-4JMAk47qKg,,2023,1,NWSL,,,2.0,1.1735,14.1823,1.9887,0.0,-0.8685,2.0,8.0,434.0,0.5696,79.0,-4.5154,-5.7156,0.0,10.0,4.0,0.8265,0.8685,0.1644,1.695,0.6268,0.6583
soccer-nwsl-2024-4wM4rZdqjB,,2024,1,NWSL,,,2.0,0.3419,14.2666,1.2476,2.0,-1.8331,4.0,14.0,916.0,0.7195,221.0,6.0178,2.723,0.5847,25.0,8.0,1.6581,3.8331,-1.4268,5.4912,0.6922,1.6637
soccer-nwsl-2025-4wM4rZdqjB,,2025,1,NWSL,,,0.0,-1.1361,17.5253,2.4337,1.0,-1.0272,1.0,8.0,988.0,0.5804,224.0,-9.5518,-4.2642,0.3536,19.0,8.0,1.1361,2.0272,-0.6395,3.1634,0.623,0.7499
soccer-nwsl-2026-odMX2OJqYL,,2026,1,NWSL,,,2.0,0.8669,15.4558,1.0711,1.0,0.1363,3.0,12.0,721.0,0.6652,230.0,-3.9832,-1.7318,0.8132,7.0,1.0,1.1331,0.8637,-0.1831,1.9968,0.6825,0.6897
