game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,,,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,1.0,3.0,1.0,1.0
