game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105260PHO,2021-05-26,2021,1,WNBA,LVA,PHO,3.0,,6.0,,0.444,9.0,4.0,3.0,,,,23.183333333333334,,,8.0,6.0,,1.0
WNBA_202105290DAL,2021-05-29,2021,1,WNBA,PHO,DAL,2.0,,2.0,,1.0,3.0,3.0,2.0,,2.0,,16.15,1.0,-9.0,6.0,3.0,,2.0
WNBA_202106010CHI,2021-06-01,2021,1,WNBA,PHO,CHI,2.0,1.0,3.0,,0.667,3.0,2.0,,,,,16.75,,4.0,4.0,3.0,,1.0
WNBA_202106030PHO,2021-06-03,2021,1,WNBA,CHI,PHO,,,1.0,,,4.0,,2.0,,,,12.1,1.0,-15.0,,2.0,,1.0
WNBA_202106080PHO,2021-06-08,2021,1,WNBA,DAL,PHO,1.0,1.0,2.0,,0.5,4.0,2.0,,,,,15.15,,3.0,4.0,2.0,,
WNBA_202106110PHO,2021-06-11,2021,1,WNBA,DAL,PHO,2.0,,1.0,,0.5,6.0,3.0,3.0,,,,17.866666666666667,2.0,-2.0,6.0,3.0,1.0,2.0
WNBA_202106130PHO,2021-06-13,2021,1,WNBA,NYL,PHO,,,2.0,,,,,,,,,6.566666666666666,,-9.0,,2.0,,1.0
WNBA_202106160LAS,2021-06-16,2021,1,WNBA,PHO,LAS,1.0,,,,0.2,5.0,1.0,2.0,0.5,2.0,1.0,13.083333333333334,2.0,-14.0,3.0,2.0,,4.0
WNBA_202106180LAS,2021-06-18,2021,1,WNBA,PHO,LAS,1.0,,3.0,,0.667,3.0,2.0,1.0,,,,13.95,1.0,-3.0,4.0,4.0,,1.0
WNBA_202106270PHO,2021-06-27,2021,1,WNBA,LAS,PHO,2.0,,2.0,,0.2,5.0,1.0,1.0,1.0,2.0,2.0,17.566666666666666,1.0,6.0,4.0,3.0,1.0,1.0
WNBA_202106300PHO,2021-06-30,2021,1,WNBA,MIN,PHO,1.0,,1.0,,0.333,6.0,2.0,3.0,,,,15.733333333333333,1.0,-9.0,4.0,2.0,1.0,1.0
WNBA_202107030PHO,2021-07-03,2021,1,WNBA,MIN,PHO,4.0,,1.0,,0.4,5.0,2.0,2.0,,,,21.85,,-14.0,4.0,1.0,,1.0
WNBA_202107070LVA,2021-07-07,2021,1,WNBA,PHO,LVA,2.0,,2.0,,0.4,5.0,2.0,2.0,,,,9.266666666666667,1.0,-5.0,4.0,3.0,,
WNBA_202107090PHO,2021-07-09,2021,1,WNBA,SEA,PHO,1.0,1.0,2.0,,0.333,3.0,1.0,2.0,,,,11.5,,5.0,2.0,2.0,,
WNBA_202107110SEA,2021-07-11,2021,1,WNBA,PHO,SEA,1.0,,1.0,,0.5,2.0,1.0,1.0,,2.0,,10.75,,-13.0,2.0,1.0,,1.0
WNBA_202108150PHO,2021-08-15,2021,1,WNBA,ATL,PHO,,,2.0,,0.5,4.0,2.0,2.0,,1.0,,12.5,2.0,-8.0,4.0,4.0,,2.0
