game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
13419702,2026-07-25,2026,8,CFL,TOR,BC,0.0,0.0,121.0,,,,0.0,12.0
SYNTHETIC_CFL_2026_W9_BC,2026-07-30,2026,9,CFL,BC,WPG,0.0,1.0,96.0,0.0,3.0,1.0,0.0,160.0
