game_id,date,season,week,league,away,home,gp,pr_no
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,6.0,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,
