game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,passing_tds,passing_yards,rushing_yards
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,5.0,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,2.0,1.0,194.0,51.0
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,,2023,8,XFL,,,0.0,3.0,,,,
