game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,4.0,,,,,,,1.0,11.0,13.0,,54.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,10.0,1.0,22.0,1.0,1.0,1.0,14.0,8.0,28.0,110.0,4.0,377.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,,,,,,,16.0,81.0,122.0,1.0,419.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,,,,,1.0,12.0,71.0,1.0,211.0
