game_id,date,season,week,league,away,home,interceptions_made,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W1_HAM,,2023,1,CFL,,,,1.0,0.0,3.0,2.0,1.0,66.0,,
SYNTHETIC_CFL_2023_W2_HAM,,2023,2,CFL,,,,,,57.0,7.0,1.0,60.0,,
SYNTHETIC_CFL_2023_W3_HAM,,2023,3,CFL,,,,,0.0,10.0,3.0,0.0,14.0,,
SYNTHETIC_CFL_2023_W5_HAM,,2023,5,CFL,,,,,0.0,18.0,2.0,0.0,62.0,,
SYNTHETIC_CFL_2023_W6_HAM,,2023,6,CFL,,,,,0.0,40.0,3.0,1.0,127.0,,
SYNTHETIC_CFL_2023_W7_HAM,,2023,7,CFL,,,,,0.0,58.0,6.0,0.0,14.0,,
SYNTHETIC_CFL_2023_W8_HAM,,2023,8,CFL,,,,,0.0,30.0,2.0,0.0,12.0,,
SYNTHETIC_CFL_2023_W9_HAM,,2023,9,CFL,,,,,0.0,61.0,8.0,1.0,51.0,,
SYNTHETIC_CFL_2023_W11_HAM,,2023,11,CFL,,,,,0.0,32.0,3.0,1.0,114.0,,
SYNTHETIC_CFL_2023_W12_HAM,,2023,12,CFL,,,,,1.0,36.0,3.0,1.0,118.0,,
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,0.0,,0.0,28.0,5.0,0.0,63.0,0.0,1.0
SYNTHETIC_CFL_2023_W14_HAM,,2023,14,CFL,,,,,0.0,0.0,0.0,0.0,35.0,,
SYNTHETIC_CFL_2023_W15_HAM,,2023,15,CFL,,,,,0.0,0.0,1.0,1.0,82.0,,
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,0.0,,0.0,20.0,3.0,0.0,32.0,0.0,1.0
SYNTHETIC_CFL_2023_W17_HAM,,2023,17,CFL,,,,,0.0,10.0,3.0,0.0,92.0,,
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,,,0.0,77.0,5.0,0.0,107.0,,
SYNTHETIC_CFL_2023_W19_HAM,,2023,19,CFL,,,,,0.0,47.0,5.0,0.0,67.0,,
SYNTHETIC_CFL_2024_W1_HAM,,2024,1,CFL,,,,,0.0,12.0,1.0,0.0,119.0,,
SYNTHETIC_CFL_2024_W2_HAM,,2024,2,CFL,,,,,0.0,40.0,5.0,0.0,27.0,,
SYNTHETIC_CFL_2024_W3_HAM,,2024,3,CFL,,,,,0.0,12.0,3.0,0.0,10.0,,
SYNTHETIC_CFL_2024_W5_HAM,,2024,5,CFL,,,,,1.0,108.0,9.0,0.0,27.0,,
SYNTHETIC_CFL_2024_W7_HAM,,2024,7,CFL,,,,,0.0,53.0,4.0,1.0,50.0,,
SYNTHETIC_CFL_2024_W8_HAM,,2024,8,CFL,,,,,0.0,19.0,3.0,0.0,98.0,,
SYNTHETIC_CFL_2024_W9_HAM,,2024,9,CFL,,,,,0.0,41.0,7.0,0.0,69.0,,
SYNTHETIC_CFL_2024_W10_HAM,,2024,10,CFL,,,,,0.0,27.0,5.0,0.0,40.0,,
SYNTHETIC_CFL_2024_W16_HAM,,2024,16,CFL,,,,,0.0,44.0,6.0,0.0,58.0,,
SYNTHETIC_CFL_2024_W18_HAM,,2024,18,CFL,,,,,0.0,16.0,2.0,1.0,24.0,,
SYNTHETIC_CFL_2025_W1_BC,,2025,1,CFL,,,,,,22.0,3.0,1.0,68.0,,
SYNTHETIC_CFL_2025_W2_BC,,2025,2,CFL,,,,,0.0,42.0,5.0,0.0,27.0,,
SYNTHETIC_CFL_2025_W3_BC,,2025,3,CFL,,,,,,,,0.0,44.0,,
SYNTHETIC_CFL_2025_W4_BC,,2025,4,CFL,,,,,0.0,26.0,4.0,1.0,123.0,,
SYNTHETIC_CFL_2025_W5_BC,,2025,5,CFL,,,,,0.0,19.0,1.0,0.0,41.0,,
SYNTHETIC_CFL_2025_W6_BC,,2025,6,CFL,,,,,0.0,35.0,3.0,1.0,172.0,,
SYNTHETIC_CFL_2025_W7_BC,,2025,7,CFL,,,,,0.0,35.0,5.0,0.0,30.0,,
SYNTHETIC_CFL_2025_W8_BC,,2025,8,CFL,,,,,0.0,-1.0,1.0,2.0,115.0,,
SYNTHETIC_CFL_2025_W10_BC,,2025,10,CFL,,,,,1.0,55.0,4.0,1.0,85.0,,
SYNTHETIC_CFL_2025_W11_BC,,2025,11,CFL,,,,,0.0,12.0,2.0,0.0,81.0,,
SYNTHETIC_CFL_2025_W12_BC,,2025,12,CFL,,,,,0.0,0.0,0.0,2.0,83.0,,
SYNTHETIC_CFL_2025_W14_BC,,2025,14,CFL,,,,,0.0,12.0,1.0,1.0,77.0,,
SYNTHETIC_CFL_2025_W15_BC,,2025,15,CFL,,,,,0.0,18.0,2.0,1.0,44.0,,
SYNTHETIC_CFL_2025_W17_BC,,2025,17,CFL,,,,,0.0,6.0,1.0,0.0,72.0,,
SYNTHETIC_CFL_2025_W18_BC,,2025,18,CFL,,,,,0.0,97.0,6.0,0.0,42.0,,
SYNTHETIC_CFL_2025_W20_BC,,2025,20,CFL,,,,,0.0,23.0,5.0,1.0,82.0,,
SYNTHETIC_CFL_2025_W21_BC,,2025,21,CFL,,,,,0.0,38.0,3.0,0.0,28.0,,
