game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,10.0,,,11.0,1.0,145.0,129.0,6.0,668.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,10.0,2.0,15.0,12.0,,61.0,114.0,2.0,413.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,5.0,,,4.0,,17.0,70.0,4.0,290.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,5.0,,,,,,60.0,,226.0
