game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pass_att,pass_int,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,17.0,12.0,12.0,,,54.0,48.0,57.0,2168.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,20.0,16.0,12.0,,,25.0,21.0,15.0,604.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,9.0,8.0,8.0,,,17.0,13.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,8.0,3.0,9.0,1.0,1.0,20.0,19.0,18.0,638.0
