game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,2.0,1.0,1.0,17.0,13.0,,1.0,1.0,1.0,,,17.0,4.0,123.0,211.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,1.0,1.0,,24.0,22.0,,1.0,3.0,,,,23.0,1.0,196.0,178.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,,1.0,,27.0,25.0,,4.0,2.0,,,,25.0,,196.0,28.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,2.0,,,29.0,18.0,1.0,7.0,1.0,,1.0,,23.0,5.0,444.0,81.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,2.0,1.0,,25.0,21.0,,4.0,4.0,,1.0,,21.0,,404.0,91.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,5.0,,,31.0,27.0,2.0,2.0,,1.0,,,30.0,3.0,181.0,167.0
2023-06-24-CHI-DET,2023-06-24,2023,9,,CHI,DET,,2.0,,,,,,,,,,,,,
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,1.0,1.0,,30.0,27.0,,3.0,4.0,,,,27.0,,248.0,139.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,1.0,,,60.0,58.0,,2.0,2.0,,2.0,,59.0,1.0,265.0,18.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,4.0,1.0,,50.0,50.0,,,,2.0,,,51.0,1.0,286.0,278.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,,,,,,1.0,2.0,2.0,,,1.0,,,,
