game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,16.0,11.0,19.0,12.0,35.0,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,39.0,17.0,15.0,4.0,54.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,45.0,17.0,20.0,2.0,65.0,14.0,6.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,54.0,18.0,18.0,8.0,72.0,11.0,5.0
