game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_TB,,2022,1,USFL,,,2.0,,1.0,185.0,,0.0
SYNTHETIC_USFL_2022_W2_TB,,2022,2,USFL,,,,2.0,0.0,96.0,,46.0
SYNTHETIC_USFL_2022_W3_TB,,2022,3,USFL,,,,1.0,1.0,,1.0,29.0
SYNTHETIC_USFL_2022_W4_TB,,2022,4,USFL,,,,0.0,1.0,,0.0,34.0
SYNTHETIC_USFL_2022_W5_TB,,2022,5,USFL,,,,0.0,2.0,207.0,0.0,27.0
SYNTHETIC_USFL_2022_W6_TB,,2022,6,USFL,,,,1.0,4.0,333.0,0.0,61.0
SYNTHETIC_USFL_2022_W7_TB,,2022,7,USFL,,,,3.0,1.0,237.0,0.0,18.0
SYNTHETIC_USFL_2022_W8_TB,,2022,8,USFL,,,,1.0,1.0,98.0,0.0,35.0
SYNTHETIC_USFL_2022_W9_TB,,2022,9,USFL,,,,2.0,1.0,288.0,0.0,86.0
SYNTHETIC_USFL_2022_W10_TB,,2022,10,USFL,,,,1.0,2.0,250.0,0.0,18.0
