game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W9_TOR,,,9,CFL,,,,,,,,,,0.0,10.0
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,,,,,0.0,36.0,3.0,0.0,47.0
SYNTHETIC_CFL_W11_TOR,,,11,CFL,,,,,,,0.0,92.0,7.0,0.0,18.0
SYNTHETIC_CFL_W14_TOR,,,14,CFL,,,,,,,0.0,26.0,4.0,1.0,29.0
SYNTHETIC_CFL_W16_TOR,,,16,CFL,,,,,,,1.0,33.0,5.0,0.0,57.0
SYNTHETIC_CFL_W17_TOR,,,17,CFL,,,,,,,0.0,17.0,3.0,0.0,66.0
SYNTHETIC_CFL_W18_TOR,,,18,CFL,,,,,,,0.0,21.0,5.0,0.0,44.0
SYNTHETIC_CFL_W19_TOR,,,19,CFL,,,,,,,0.0,8.0,1.0,1.0,91.0
SYNTHETIC_CFL_W20_TOR,,,20,CFL,,,,,,,0.0,31.0,3.0,0.0,92.0
SYNTHETIC_CFL_2023_W2_TOR,,2023,2,CFL,,,,,,,,,,,60.0
SYNTHETIC_CFL_2023_W3_TOR,,2023,3,CFL,,,,,,,,,,3.0,84.0
SYNTHETIC_CFL_2023_W4_TOR,,2023,4,CFL,,,,,,,,4.0,1.0,1.0,70.0
SYNTHETIC_CFL_2023_W6_TOR,,2023,6,CFL,,,,,,,,10.0,2.0,,95.0
SYNTHETIC_CFL_2023_W7_TOR,,2023,7,CFL,,,,,,,,12.0,2.0,,84.0
SYNTHETIC_CFL_2023_W8_TOR,,2023,8,CFL,,,,,,,,33.0,3.0,,34.0
SYNTHETIC_CFL_2023_W9_TOR,,2023,9,CFL,,,,,,,,12.0,1.0,,32.0
SYNTHETIC_CFL_2023_W10_TOR,,2023,10,CFL,,,,,,,,12.0,1.0,,90.0
SYNTHETIC_CFL_2023_W12_TOR,,2023,12,CFL,,,,,,,,18.0,2.0,,82.0
SYNTHETIC_CFL_2023_W13_TOR,,2023,13,CFL,,,,,1.0,26.0,,,,,79.0
SYNTHETIC_CFL_2023_W14_TOR,,2023,14,CFL,,,,,,,,,,2.0,105.0
SYNTHETIC_CFL_2023_W15_TOR,,2023,15,CFL,,,,,,,,11.0,2.0,1.0,53.0
SYNTHETIC_CFL_2023_W17_TOR,,2023,17,CFL,,,,,,,1.0,28.0,1.0,,26.0
SYNTHETIC_CFL_2023_W18_TOR,,2023,18,CFL,,,,,,,,,,1.0,65.0
SYNTHETIC_CFL_2023_W20_TOR,,2023,20,CFL,,,,,,,,,,1.0,50.0
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,,1.0,,,,19.0,1.0,0.0,21.0
SYNTHETIC_CFL_2024_W2_SSK,,2024,2,CFL,,,,,,,0.0,0.0,0.0,1.0,96.0
SYNTHETIC_CFL_2024_W3_SSK,,2024,3,CFL,,,,,,,0.0,15.0,1.0,1.0,91.0
SYNTHETIC_CFL_2024_W4_SSK,,2024,4,CFL,,,,,,,0.0,12.0,1.0,1.0,139.0
SYNTHETIC_CFL_2024_W5_SSK,,2024,5,CFL,,,,,,,0.0,6.0,1.0,0.0,67.0
SYNTHETIC_CFL_2024_W6_SSK,,2024,6,CFL,,,,,,,0.0,58.0,6.0,0.0,9.0
SYNTHETIC_CFL_2024_W7_SSK,,2024,7,CFL,,,,,,,1.0,12.0,3.0,0.0,72.0
SYNTHETIC_CFL_2024_W8_SSK,,2024,8,CFL,,,,,,,0.0,11.0,3.0,0.0,62.0
SYNTHETIC_CFL_2024_W9_SSK,,2024,9,CFL,,,,,,,0.0,6.0,1.0,0.0,74.0
SYNTHETIC_CFL_2024_W11_SSK,,2024,11,CFL,,,,,,,0.0,33.0,3.0,0.0,84.0
SYNTHETIC_CFL_2024_W12_SSK,,2024,12,CFL,,,,,,,0.0,25.0,4.0,0.0,65.0
SYNTHETIC_CFL_2024_W13_SSK,,2024,13,CFL,,,,,,,0.0,2.0,1.0,1.0,89.0
SYNTHETIC_CFL_2024_W14_SSK,,2024,14,CFL,,,,,,,0.0,9.0,1.0,1.0,50.0
SYNTHETIC_CFL_2024_W15_SSK,,2024,15,CFL,,,,,,,0.0,14.0,3.0,1.0,90.0
SYNTHETIC_CFL_2024_W17_SSK,,2024,17,CFL,,,,,,,0.0,17.0,2.0,1.0,115.0
SYNTHETIC_CFL_2024_W18_SSK,,2024,18,CFL,,,,,,,0.0,20.0,3.0,1.0,53.0
SYNTHETIC_CFL_2024_W19_SSK,,2024,19,CFL,,,0.0,,0.0,0.0,0.0,7.0,2.0,0.0,69.0
SYNTHETIC_CFL_2024_W21_SSK,,2024,21,CFL,,,,,,,0.0,9.0,1.0,0.0,43.0
SYNTHETIC_CFL_2025_W1_SSK,,2025,1,CFL,,,,,,,,,,,21.0
SYNTHETIC_CFL_2025_W2_SSK,,2025,2,CFL,,,,,,,,,,1.0,96.0
SYNTHETIC_CFL_2025_W3_SSK,,2025,3,CFL,,,,,,,,15.0,1.0,1.0,91.0
SYNTHETIC_CFL_2025_W4_SSK,,2025,4,CFL,,,,,,,,12.0,1.0,1.0,139.0
SYNTHETIC_CFL_2025_W6_SSK,,2025,6,CFL,,,,,,,,58.0,6.0,,9.0
SYNTHETIC_CFL_2025_W7_SSK,,2025,7,CFL,,,,,,,1.0,12.0,3.0,,72.0
SYNTHETIC_CFL_2025_W8_SSK,,2025,8,CFL,,,,,,,,11.0,3.0,,62.0
SYNTHETIC_CFL_2025_W9_SSK,,2025,9,CFL,,,,,,,,6.0,1.0,,74.0
SYNTHETIC_CFL_2025_W11_SSK,,2025,11,CFL,,,,,,,,33.0,3.0,,84.0
SYNTHETIC_CFL_2025_W12_SSK,,2025,12,CFL,,,,,,,,25.0,4.0,,65.0
SYNTHETIC_CFL_2025_W13_SSK,,2025,13,CFL,,,,,,,,2.0,1.0,1.0,89.0
SYNTHETIC_CFL_2025_W14_SSK,,2025,14,CFL,,,,,,,,9.0,1.0,1.0,50.0
SYNTHETIC_CFL_2025_W15_SSK,,2025,15,CFL,,,,,,,,14.0,3.0,1.0,90.0
SYNTHETIC_CFL_2025_W17_SSK,,2025,17,CFL,,,,,,,,17.0,2.0,1.0,115.0
SYNTHETIC_CFL_2025_W18_SSK,,2025,18,CFL,,,,,,,,20.0,3.0,1.0,53.0
SYNTHETIC_CFL_2025_W19_SSK,,2025,19,CFL,,,,,,,,7.0,2.0,,69.0
SYNTHETIC_CFL_2025_W21_SSK,,2025,21,CFL,,,,,,,,9.0,1.0,,43.0
