game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,1.0,10.0,2.0,7.0,11.0,1.0,179.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,9.0,,,12.0,1.0,208.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,6.0,,,3.0,1.0,21.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,12.0,,,6.0,,118.0
