game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,,,,,,,,,,4.0,8.0,,20.0,,,,,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,17.0,1.0,3.0,17.0,17.0,11.0,11.0,,52.0,,,,,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,,,14.0,3.0,3.0,21.0,26.0,5.0,22.0,,41.0,,,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,,26.0,1.0,1.0,22.0,26.0,25.0,19.0,,132.0,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,5.0,1.0,1.0,5.0,5.0,5.0,22.0,,34.0,,,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,,,2.0,1.0,2.0,2.0,2.0,8.0,13.0,,40.0,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,8.0,3.0,3.0,11.0,15.0,10.0,12.0,,58.0,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,24.0,2.0,2.0,19.0,19.0,10.0,13.0,1.0,61.0,,,6.0,1.0,1.0
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,,,0.0,2.0,1.0,,,,,,,,,,0.0,40.0,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,,0.0,15.0,3.0,,,,,,,,,,0.0,58.0,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,0.0,19.0,2.0,,,,,,,,,,1.0,61.0,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,,0.0,26.0,1.0,,,,,,,,,,0.0,132.0,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,,0.0,17.0,1.0,,,,,,,,,,0.0,52.0,,,
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,0.0,16.0,3.0,,,,,,,,,,3.0,191.0,,,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,0.0,46.0,7.0,,,,,,,,,,0.0,38.0,,,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,6.0,1.0,,,,,,,,,,,30.0,,,
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,,0.0,-1.0,1.0,,,,,,,,,,0.0,85.0,,,
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,0.0,19.0,4.0,,,,,,,,,,0.0,10.0,,,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,,0.0,5.0,2.0,,,,,,,,,,0.0,23.0,,,
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,0.0,9.0,1.0,,,,,,,,,,0.0,25.0,,,
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,,,,,,,,,,,,,3.0,82.0,,,
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,1.0,,0.0,14.0,2.0,,,,,,,,,,1.0,15.0,,,
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,0.0,13.0,2.0,,,,,,,,,,1.0,37.0,,,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,0.0,17.0,3.0,,,,,,,,,,3.0,110.0,,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,0.0,71.0,7.0,,,,,,,,,,2.0,88.0,,,
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,0.0,30.0,5.0,,,,,,,,,,0.0,74.0,,,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,1.0,0.0,11.0,3.0,,,,,,,,,,0.0,77.0,,,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,0.0,40.0,5.0,,,,,,,,,,0.0,20.0,,,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,1.0,0.0,37.0,4.0,,,,,,,,,,1.0,36.0,,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,10.0,1.0,,,,,,,,,,1.0,46.0,,,
