game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,15.0,2.0,12.0,1.0,42.0,12.0,5.0,102.0,15.0,202.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,1.0,,19.0,5.0,4.0,103.0,4.0,36.0
