game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,10.0,25.0,1.0,218.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,11.0,18.0,2.0,220.0
