game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_yards,pr_fc,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,3.0,27.0,69.0,,,12.0,1.0,,,,,
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,5.0,26.0,99.0,,,39.0,3.0,,,1.0,1.0,2.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,3.0,22.0,48.0,,,,,,,,,
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,4.0,26.0,80.0,1.0,,51.0,2.0,,,,,1.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,5.0,24.0,100.0,,,,,,,,,
SYNTHETIC_USFL_2022_W4_TB,,2022,4,USFL,,,,,,,0.0,0.0,0.0,,,,,
SYNTHETIC_USFL_2022_W5_TB,,2022,5,USFL,,,,,,,0.0,7.0,1.0,0.0,-2.0,,,
SYNTHETIC_USFL_2022_W6_TB,,2022,6,USFL,,,,,,,0.0,50.0,5.0,,,,,
SYNTHETIC_USFL_2022_W7_TB,,2022,7,USFL,,,,,,,0.0,0.0,0.0,0.0,-4.0,,,
