game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,,23.0,29.0,,,1.0,33.0,4.0,-52.0,181.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,25.0,36.0,1.0,1.0,1.0,36.0,,116.0,205.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,4.0,,26.0,30.0,,1.0,,33.0,2.0,213.0,183.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,,24.0,23.0,1.0,1.0,2.0,25.0,2.0,69.0,205.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,,,20.0,22.0,1.0,1.0,,23.0,1.0,6.0,22.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,2.0,,14.0,17.0,,,2.0,20.0,2.0,8.0,175.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,0.0,1.0,20.0,26.0,,2.0,1.0,26.0,,92.0,194.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,2.0,,40.0,43.0,,3.0,1.0,43.0,,190.0,131.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,1.0,,38.0,40.0,2.0,,2.0,40.0,,161.0,126.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,2.0,,27.0,32.0,,2.0,1.0,32.0,,113.0,173.0
