game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,5.0,9.0,2.0,147.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,9.0,6.0,1.0,79.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,39.0,2.0,488.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,11.0,7.0,,62.0
