game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-SLC-POR,2023-05-05,2023,2,,SLC,POR,1.0,,,7.0,6.0,,,1.0,,,7.0,,8.0,94.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,,,,,,,1.0,,1.0,1.0,,1.0,,
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,3.0,1.0,,9.0,11.0,,,1.0,1.0,,11.0,,49.0,123.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,2.0,1.0,,7.0,6.0,,1.0,,1.0,2.0,6.0,,52.0,58.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,2.0,,,5.0,7.0,,,,,,8.0,,46.0,58.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,2.0,,,9.0,8.0,,1.0,1.0,,,8.0,,122.0,63.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,1.0,,,8.0,5.0,,2.0,,,,6.0,1.0,139.0,7.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,1.0,,,11.0,9.0,1.0,4.0,1.0,,,9.0,1.0,84.0,60.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,,2.0,,,,,,,1.0,,,,,
2023-07-07-POR-SLC,2023-07-07,2023,11,,POR,SLC,1.0,2.0,1.0,18.0,16.0,,4.0,,,7.0,17.0,1.0,172.0,124.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,1.0,2.0,,6.0,5.0,,1.0,,,4.0,5.0,,94.0,21.0
