game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2024_6_8_MICH@BHAM,2024-06-08,2024,1,UFL,MICH,BHAM,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_UFL_2024_4_20_DC@BHAM,2024-04-20,2024,4,UFL,DC,BHAM,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_UFL_2024_5_19_HOU@BHAM,2024-05-19,2024,8,UFL,HOU,BHAM,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,5.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_UFL_2025_5_4_SA@BHM,2025-05-04,2025,6,UFL,SA,BHM,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_UFL_2025_6_1_BHM@MEM,2025-06-01,2025,10,UFL,BHM,MEM,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,,,,,,,,8.3,10.0,0.0,25.0,3.0,,7.0,10.0,2.0,0.0,14.0,,,,
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,,,,,,,,3.0,1.0,2.0,0.0,3.0,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_21_TIOWABARNSTORMERSG20260321EITG@TQUADCITYSTEAMWHEELERS,2026-03-21,2026,2,IFL,Iowa Barnstormers,Quad City Steamwheelers,,,,,,,,,,,,,4.0,4.0,1.0,4.0,1.0,,3.0,8.0,3.0,0.0,9.0,,,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,,,,,,,,,,,,,14.0,14.0,0.0,14.0,1.0,,3.0,3.0,1.0,0.0,3.0,,,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,1.0,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,,,,,,,,,0.0,1.0
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
