game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,7.0,,,10.0,2.0,,10.0,,9.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,3.0,,,18.0,2.0,,10.0,,5.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,7.0,,,18.0,1.0,,4.0,,8.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,2.0,,,18.0,,,12.0,,2.0,,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
