game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
cricket-npl-2024-12-04-1462644,2024-12-04,2024,1,NPL,Karnali Yaks,Kathmandu Gurkhas,,,,,,,24.0,0.0,0.0,18.0,1.0,1.0,,1.0
cricket-npl-2024-12-06-1462648,2024-12-06,2024,1,NPL,Chitwan Rhinos,Karnali Yaks,,,,,,,24.0,0.0,0.0,21.0,3.0,0.0,,1.0
cricket-npl-2024-12-07-1462651,2024-12-07,2024,1,NPL,Karnali Yaks,Biratnagar Kings,1.0,0.0,0.0,10.0,0.0,0.0,24.0,1.0,0.0,20.0,2.0,1.0,,1.0
cricket-npl-2024-12-10-1462655,2024-12-10,2024,1,NPL,Pokhara Avengers,Karnali Yaks,,,,,,,12.0,0.0,0.0,21.0,1.0,0.0,,1.0
cricket-npl-2024-12-13-1462660,2024-12-13,2024,1,NPL,Karnali Yaks,Lumbini Lions,,,,,,,24.0,1.0,0.0,25.0,1.0,0.0,,1.0
cricket-npl-2024-12-16-1462666,2024-12-16,2024,1,NPL,Karnali Yaks,Sudur Paschim Royals,2.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,22.0,1.0,0.0,1.0,1.0
cricket-npl-2024-12-18-1462667,2024-12-18,2024,1,NPL,Karnali Yaks,Chitwan Rhinos,,,,,,,24.0,0.0,0.0,27.0,1.0,1.0,,1.0
cricket-npl-2024-12-19-1462669,2024-12-19,2024,1,NPL,Karnali Yaks,Janakpur Bolts,,,,,,,24.0,0.0,0.0,17.0,3.0,0.0,,1.0
cricket-npl-2025-11-22-1510983,2025-11-22,2025,1,NPL,Lumbini Lions,Karnali Yaks,,,,,,,18.0,0.0,0.0,19.0,1.0,0.0,,1.0
cricket-npl-2025-11-24-1510986,2025-11-24,2025,1,NPL,Sudur Paschim Royals,Karnali Yaks,1.0,0.0,1.0,11.0,0.0,0.0,24.0,0.0,0.0,26.0,1.0,1.0,,1.0
cricket-npl-2025-11-30-1510995,2025-11-30,2025,1,NPL,Karnali Yaks,Kathmandu Gorkhas,,,,,,,18.0,0.0,0.0,16.0,0.0,0.0,,1.0
cricket-npl-2025-12-02-1510997,2025-12-02,2025,1,NPL,Pokhara Avengers,Karnali Yaks,2.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,27.0,0.0,0.0,,1.0
