game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,,3.0,15.0,4.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,3.0,2.5,44.0,12.0
