game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles
SYNTHETIC_USFL_2022_W9_TB,,2022,9,USFL,,,,,0.0
SYNTHETIC_UFL_2024_W5_SHOWBOATS,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,1.0,,
SYNTHETIC_UFL_2024_W11_SHOWBOATS,,2024,11,UFL,,,,1.0,
