game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,VGS,DC,,,,11.0,1.0
SYNTHETIC_XFL_2023_W4_DEFENDERS,,2023,4,XFL,,,0.0,0.0,,,
SYNTHETIC_XFL_2023_W5_DEFENDERS,,2023,5,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,1.0,1.0,1.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,8.0,1.0
SYNTHETIC_XFL_2023_W7_DEFENDERS,,2023,7,XFL,,,0.0,2.0,,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,1.0,14.0,1.0
SYNTHETIC_XFL_2023_W9_DEFENDERS,,2023,9,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,2.0,25.0,4.0
SYNTHETIC_UFL_2024_W1_DEFENDERS,,2024,1,UFL,,,,,0.0,28.0,3.0
SYNTHETIC_UFL_2024_W2_DEFENDERS,,2024,2,UFL,,,,1.0,0.0,19.0,1.0
SYNTHETIC_UFL_2024_W3_DEFENDERS,,2024,3,UFL,,,,,0.0,17.0,1.0
SYNTHETIC_UFL_2024_W4_DEFENDERS,,2024,4,UFL,,,,,0.0,7.0,1.0
SYNTHETIC_UFL_2024_W5_DEFENDERS,,2024,5,UFL,,,,,0.0,18.0,2.0
SYNTHETIC_UFL_2024_W6_DEFENDERS,,2024,6,UFL,,,,,0.0,22.0,2.0
SYNTHETIC_UFL_2024_W7_DEFENDERS,,2024,7,UFL,,,,,0.0,14.0,2.0
SYNTHETIC_UFL_2024_W8_DEFENDERS,,2024,8,UFL,,,,1.0,1.0,58.0,4.0
SYNTHETIC_UFL_2024_W9_DEFENDERS,,2024,9,UFL,,,,,1.0,28.0,3.0
SYNTHETIC_UFL_2024_W10_DEFENDERS,,2024,10,UFL,,,,1.0,0.0,29.0,2.0
