game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,11.0,2.0,,4.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,37.0,4.0,471.0
