game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,rush_avg,rush_long,rush_td,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2024_4_20_MEM@STL,2024-04-20,2024,4,UFL,MEM,STL,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_UFL_2024_4_28_STL@DC,2024-04-28,2024,5,UFL,STL,DC,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_UFL_2024_5_19_DC@STL,2024-05-19,2024,8,UFL,DC,STL,,,,,,,,,,,2.0,,,,,,,,,
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,6.0
FOOTBALL_AF1_2026_4_18_T584635G1168204@T584761,2026-04-18,2026,2,AF1,Albany Firebirds,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,,,1.0
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,2.0,,,,,,,,,,,,,,,,,,1.0,3.0
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,3.0
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,2.0,,,,,,,,,,,,,,,,,,1.0,3.0
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,1.0,0.0,0.0,-1.0,0.0,,,2.0
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,4.0,,,,,,,,,,,,,,,,,,3.0,7.0
