game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,3.0,35.0,44.0,,1.0,2.0,1.0,1.0,44.0,,99.0,259.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,2.0,28.0,43.0,,,6.0,2.0,,45.0,2.0,172.0,323.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,2.0,30.0,38.0,,,3.0,2.0,,41.0,3.0,100.0,365.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,3.0,30.0,36.0,,,4.0,3.0,,37.0,1.0,63.0,375.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,3.0,27.0,29.0,,1.0,2.0,1.0,,35.0,4.0,142.0,249.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,5.0,43.0,49.0,,4.0,1.0,3.0,,51.0,2.0,-9.0,337.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,2.0,28.0,29.0,,,5.0,1.0,,29.0,,168.0,221.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,5.0,28.0,33.0,1.0,2.0,2.0,3.0,,34.0,1.0,71.0,245.0
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,2.0,29.0,34.0,,,3.0,,,35.0,1.0,16.0,87.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,8.0,38.0,43.0,,,2.0,7.0,,45.0,2.0,87.0,616.0
